Ranking;logo;University;Country;Score
50;www.https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_small.jpg;Shanghai Jiao Tong University;Asia;75.6
50;www.https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg;Technical University of Munich;Europe;75.6
52;www.https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg;Duke University;North America;75.2
53;www.https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg;Carnegie Mellon University;North America;74.6
53;www.https://www.topuniversities.com/sites/default/files/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg;City University of Hong Kong;Asia;74.6
55;www.https://www.topuniversities.com/sites/default/files/university-of-amsterdam_18_small.jpg;University of Amsterdam;Europe;73.8
56;www.https://www.topuniversities.com/sites/default/files/tokyo-institute-of-technology_592560cf2aeae70239af4ceb_small.jpg;Tokyo Institute of Technology (Tokyo Tech);Asia;73.5
57;www.https://www.topuniversities.com/sites/default/files/delft-university-of-technology_155_small.jpg;Delft University of Technology;Europe;73.1
58;www.https://www.topuniversities.com/sites/default/files/monash-university_412_small.jpg;Monash University;Oceania;72.2
60;www.https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg;Brown University;North America;71.3
61;www.https://www.topuniversities.com/sites/default/files/the-university-of-warwick_664_small.jpg;The University of Warwick;Europe;71.2
62;www.https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg;University of Bristol;Europe;71
63;www.https://www.topuniversities.com/sites/default/files/ruprecht-karls-universitaet-heidelberg_259_small.jpg;Ruprecht-Karls-Universität Heidelberg;Europe;70.8
64;www.https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_small.jpg;Ludwig-Maximilians-Universität München;Europe;70.1
65;www.https://www.topuniversities.com/sites/default/files/universiti-malaya-um_383_small.jpg;Universiti Malaya (UM);Asia;69.8
66;www.https://www.topuniversities.com/sites/default/files/the-hong-kong-polytechnic-university_267_small.jpg;The Hong Kong Polytechnic University;Asia;69.1
67;www.https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_small.jpg;University of Texas at Austin;North America;68.4
68;www.https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg;National Taiwan University (NTU);Asia;68.2
69;www.https://www.topuniversities.com/sites/default/files/universidad-de-buenos-aires-uba_78_small.jpg;Universidad de Buenos Aires (UBA);Latin America;67.9
70;www.https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg;KU Leuven;Europe;67.2
70;www.https://www.topuniversities.com/sites/default/files/university-of-zurich_693_small.jpg;University of Zurich;Europe;67.2
72;www.https://www.topuniversities.com/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_small.jpg;Sorbonne University;Europe;67.1
73;www.https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg;University of Glasgow;Europe;66.8
74;www.https://www.topuniversities.com/sites/default/files/korea-university_325_small.jpg;Korea University;Asia;66.3
75;www.https://www.topuniversities.com/sites/default/files/osaka-university_472_small.jpg;Osaka University;Asia;66.2
75;www.https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg;University of Wisconsin-Madison;North America;66.2
77;www.https://www.topuniversities.com/sites/default/files/university-of-southampton_567_small.jpg;University of Southampton;Europe;65.7
78;www.https://www.topuniversities.com/sites/default/files/lomonosov-moscow-state-university-_592560cf2aeae70239af4c27_small.jpg;Lomonosov Moscow State University;Europe;65.6
79;www.https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg;University of Copenhagen;Europe;65.5
79;www.https://www.topuniversities.com/sites/default/files/yonsei-university_688_small.jpg;Yonsei University;Asia;65.5
81;www.https://www.topuniversities.com/sites/default/files/pohang-university-of-science-and-technology-postech_592560cf2aeae70239af4c7b_small.jpg;Pohang University of Science And Technology (POSTECH);Asia;65.4
82;www.https://www.topuniversities.com/sites/default/files/durham-university_170_small.jpg;Durham University;Europe;65.2
82;www.https://www.topuniversities.com/sites/default/files/tohoku-university_611_small.jpg;Tohoku University;Asia;65.2
82;www.https://www.topuniversities.com/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small.jpg;University of Illinois at Urbana-Champaign;North America;65.2
85;www.https://www.topuniversities.com/sites/default/files/the-university-of-auckland_592560cf2aeae70239af4aa8_small.jpg;The University of Auckland;Oceania;65
85;www.https://www.topuniversities.com/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg;University of Washington;North America;65
86;www.https://www.topuniversities.com/sites/default/files/universit-paris-saclay_592560cf2aeae70239af4c6e_small.jpg;Université Paris-Saclay;Europe;64.9
87;www.https://www.topuniversities.com/sites/default/files/lund-university_371_small.jpg;Lund University;Europe;63.8
88;www.https://www.topuniversities.com/sites/default/files/georgia-institute-of-technology_225_small.jpg;Georgia Institute of Technology;North America;63.5
89;www.https://www.topuniversities.com/sites/default/files/kth-royal-institute-of-technology-_592560cf2aeae70239af4c9b_small.jpg;KTH Royal Institute of Technology ;Europe;63.2
90;www.https://www.topuniversities.com/sites/default/files/university-of-birmingham_59_small.jpg;University of Birmingham;Europe;62.9
91;www.https://www.topuniversities.com/sites/default/files/university-of-st-andrews_570_small.jpg;University of St Andrews;Europe;62.8
92;www.https://www.topuniversities.com/sites/default/files/University-of-Leeds-2-1-48x48.jpg;University of Leeds;Europe;62.6
93;www.https://www.topuniversities.com/sites/default/files/the-university-of-western-australia_673_small.jpg;The University of Western Australia;Oceania;62.5
94;www.https://www.topuniversities.com/sites/default/files/rice-university_524_small.jpg;Rice University;North America;62.3
95;www.https://www.topuniversities.com/sites/default/files/the-university-of-sheffield_592560cf2aeae70239af4cb1_small.jpg;The University of Sheffield;Europe;61.6
96;www.https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_small.jpg;Pennsylvania State University;North America;61.5
97;www.https://www.topuniversities.com/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_small.jpg;Sungkyunkwan University(SKKU);Asia;60.5
98;www.https://www.topuniversities.com/sites/default/files/university-of-science-and-technology-of-china_122_small.jpg;University of Science and Technology of China;Asia;60.1
99;www.https://www.topuniversities.com/sites/default/files/technical-university-of-denmark_592560cf2aeae70239af4cd8_small.jpg;Technical University of Denmark;Europe;59.9
100;www.https://www.topuniversities.com/sites/default/files/university-of-north-carolina-chapel-hill_424_small.jpg;University of North Carolina, Chapel Hill;North America;59.6
101;www.https://www.topuniversities.com/sites/default/files/trinity-college-dublin-the-university-of-dublin_167_small.jpg;Trinity College Dublin, The University of Dublin;Europe;59.5
102;www.https://www.topuniversities.com/sites/default/files/university-of-oslo_473_small.jpg;University of Oslo;Europe;59
103;www.https://www.topuniversities.com/sites/default/files/the-university-of-nottingham_592560cf2aeae70239af4c4e_small.jpg;University of Nottingham;Europe;58.9
104;www.https://www.topuniversities.com/sites/default/files/university-of-helsinki_260_small.jpg;University of Helsinki;Europe;58.5
105;www.https://www.topuniversities.com/sites/default/files/universidad-nacional-autnoma-de-mxico-unam_425_small.jpg;Universidad Nacional Autónoma de México  (UNAM);Latin America;58.3
105;www.https://www.topuniversities.com/sites/default/files/university-of-geneva_221_small.jpg;University of Geneva;Europe;58.3
107;www.https://www.topuniversities.com/sites/default/files/washington-university-in-st.-louis_668_small.jpg;Washington University in St. Louis;North America;58
108;www.https://www.topuniversities.com/sites/default/files/the-university-of-adelaide_10_small.jpg;The University of Adelaide;Oceania;57.9
109;www.https://www.topuniversities.com/sites/default/files/king-abdulaziz-university-kau_1172_small.jpg;King Abdulaziz University (KAU);Asia;57.7
110;www.https://www.topuniversities.com/sites/default/files/utrecht-university_646_small.jpg;Utrecht University;Europe;57.5
111;www.https://www.topuniversities.com/sites/default/files/universit-de-montral_417_small.jpg;Université de Montréal ;North America;57.3
112;www.https://www.topuniversities.com/sites/default/files/aalto-university_261_small.jpg;Aalto University;Europe;57
112;www.https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small.jpg;Boston University;North America;57
112;www.https://www.topuniversities.com/sites/default/files/leiden-university_340_small.jpg;Leiden University;Europe;57
112;www.https://www.topuniversities.com/sites/default/files/university-of-southern-california_569_small.jpg;University of Southern California;North America;57
116;www.https://www.topuniversities.com/sites/default/files/purdue-university_510_small.jpg;Purdue University;North America;56.9
117;www.https://www.topuniversities.com/sites/default/files/queen-mary-university-of-london_592560cf2aeae70239af4bea_small.jpg;Queen Mary University of London;Europe;56.7
118;www.https://www.topuniversities.com/sites/default/files/nagoya-university_427_small.jpg;Nagoya University;Asia;56.2
119;www.https://www.topuniversities.com/sites/default/files/university-of-bern_55_small.jpg;University of Bern;Europe;56.1
120;www.https://www.topuniversities.com/sites/default/files/the-ohio-state-university_465_small.jpg;The Ohio State University;North America;56
121;www.https://www.topuniversities.com/sites/default/files/chalmers-university-of-technology_592560cf2aeae70239af4af7_small.jpg;Chalmers University of Technology;Europe;55.9
121;www.https://www.topuniversities.com/sites/default/files/universidade-de-so-paulo_550_small.jpg;Universidade de São Paulo;Latin America;55.9
123;www.https://www.topuniversities.com/sites/default/files/wageningen-university_659_small.jpg;Wageningen University & Research;Europe;55.8
124;www.https://www.topuniversities.com/sites/default/files/uppsala-university_643_small.jpg;Uppsala University;Europe;55.4
125;www.https://www.topuniversities.com/sites/default/files/eindhoven-university-of-technology_592560cf2aeae70239af4b3c_small.jpg;Eindhoven University of Technology;Europe;55.3
126;www.https://www.topuniversities.com/sites/default/files/university-of-alberta_15_small.jpg;University of Alberta;North America;55.2
127;www.https://www.topuniversities.com/sites/default/files/freie-universitaet-berlin_215_small.jpg;Freie Universitaet Berlin;Europe;54.9
128;www.https://www.topuniversities.com/sites/default/files/humboldt-universitt-zu-berlin_272_small.jpg;Humboldt-Universität zu Berlin;Europe;54.8
128;www.https://www.topuniversities.com/sites/default/files/university-of-groningen_243_small.jpg;University of Groningen;Europe;54.8
130;www.https://www.topuniversities.com/sites/default/files/cole-normale-suprieure-de-lyon_175_small.jpg;École Normale Supérieure de Lyon;Europe;54.6
131;www.https://www.topuniversities.com/sites/default/files/nanjing-university_430_small.jpg;Nanjing University;Asia;54.2
132;www.https://www.topuniversities.com/sites/default/files/lancaster-university_335_small.jpg;Lancaster University;Europe;54
133;www.https://www.topuniversities.com/sites/default/files/university-of-technology-sydney_592560cf2aeae70239af4ccf_small.jpg;University of Technology Sydney;Oceania;53.9
134;www.https://www.topuniversities.com/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_small.jpg;Newcastle University;Europe;53.8
135;www.https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg;Pontificia Universidad Católica de Chile (UC);Latin America;53.6
136;www.https://www.topuniversities.com/sites/default/files/kit-karlsruhe-institute-of-technology_310_small.jpg;KIT, Karlsruhe Institute of Technology;Europe;53.4
137;www.https://www.topuniversities.com/sites/default/files/kyushu-university_331_small.jpg;Kyushu University;Asia;53.3
138;www.https://www.topuniversities.com/sites/default/files/university-of-basel_46_small.jpg;University of Basel;Europe;53
138;www.https://www.topuniversities.com/sites/default/files/university-of-california-davis_592560cf2aeae70239af4ad8_small.jpg;University of California, Davis;North America;53
140;www.https://www.topuniversities.com/sites/default/files/mcmaster-university_397_small.jpg;McMaster University;North America;52.7
141;www.https://www.topuniversities.com/sites/default/files/ghent-university_228_small.jpg;Ghent University;Europe;52.6
142;www.https://www.topuniversities.com/sites/default/files/politecnico-di-milano_592560cf2aeae70239af4c1c_small.jpg;Politecnico di Milano;Europe;52.5
143;www.https://www.topuniversities.com/sites/default/files/universiti-putra-malaysia-upm_385_small.jpg;Universiti Putra Malaysia (UPM);Asia;52.2
144;www.https://www.topuniversities.com/sites/default/files/universiti-kebangsaan-malaysia-ukm_384_small.jpg;Universiti Kebangsaan Malaysia (UKM);Asia;52
145;www.https://www.topuniversities.com/sites/default/files/hokkaido-university_266_small.jpg;Hokkaido University;Asia;51.4
146;www.https://www.topuniversities.com/sites/default/files/university-of-california-santa-barbara-ucsb_91_small.jpg;University of California, Santa Barbara (UCSB);North America;51.2
147;www.https://www.topuniversities.com/sites/default/files/universiti-sains-malaysia-usm_386_small.jpg;Universiti Sains Malaysia (USM);Asia;51
148;www.https://www.topuniversities.com/sites/default/files/stockholm-university_577_small.jpg;Stockholm University;Europe;50.6
149;www.https://www.topuniversities.com/sites/default/files/the-university-of-exeter_204_small.jpg;The University of Exeter;Europe;50.5
149;www.https://www.topuniversities.com/sites/default/files/university-of-waterloo_670_small.jpg;University of Waterloo;North America;50.5
151;www.https://www.topuniversities.com/sites/default/files/cardiff-university_592560cf2aeae70239af4ae6_small.jpg;Cardiff University;Europe;50.4
151;www.https://www.topuniversities.com/sites/default/files/university-of-vienna_652_small.jpg;University of Vienna;Europe;50.4
151;www.https://www.topuniversities.com/sites/default/files/university-of-york_689_small.jpg;University of York;Europe;50.4
154;www.https://www.topuniversities.com/sites/default/files/university-of-rochester_592560cf2aeae70239af4c96_small.jpg;University of Rochester;North America;50.3
155;www.https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg;Aarhus University;Europe;50.2
156;www.https://www.topuniversities.com/sites/default/files/hanyang-university_250_small.jpg;Hanyang University;Asia;49.8
157;www.https://www.topuniversities.com/sites/default/files/michigan-state-university_402_small.jpg;Michigan State University;North America;49.7
158;www.https://www.topuniversities.com/sites/default/files/university-of-maryland-college-park_393_small.jpg;University of Maryland, College Park;North America;49.5
159;www.https://www.topuniversities.com/sites/default/files/technische-universitt-berlin-tu-berlin_595_small.jpg;Technische Universität Berlin (TU Berlin);Europe;49.3
160;www.https://www.topuniversities.com/sites/default/files/emory-university_185_small.jpg;Emory University;North America;48.6
161;www.https://www.topuniversities.com/sites/default/files/case-western-reserve-university_102_small.jpg;Case Western Reserve University;North America;48.2
161;www.https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-y-de-estudios-superiores-de-monterrey_592560cf2aeae70239af4cd6_small.jpg;Tecnológico de Monterrey;Latin America;48.2
163;www.https://www.topuniversities.com/sites/default/files/king-fahd-university-of-petroleum-minerals_779_small.jpg;King Fahd University of Petroleum & Minerals;Asia;48.1
163;www.https://www.topuniversities.com/sites/default/files/university-of-pittsburgh_500_small.jpg;University of Pittsburgh;North America;48.1
165;www.https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg;RWTH Aachen University;Europe;48
166;www.https://www.topuniversities.com/sites/default/files/alma-mater-studiorum-university-of-bologna_592560cf2aeae70239af4ac0_small.jpg;Alma Mater Studiorum - University of Bologna;Europe;47.7
166;www.https://www.topuniversities.com/sites/default/files/university-of-bath_47_small.jpg;University of Bath;Europe;47.7
168;www.https://www.topuniversities.com/sites/default/files/texas-am-university_592560cf2aeae70239af4ce2_small.jpg;Texas A&M University;North America;47.6
168;www.https://www.topuniversities.com/sites/default/files/university-of-barcelona_592560cf2aeae70239af4aaf_small.jpg;Universitat de Barcelona;Europe;47.6
170;www.https://www.topuniversities.com/sites/default/files/the-university-of-western-ontario_674_small.jpg;Western University;North America;47.5
171;www.https://www.topuniversities.com/sites/default/files/sapienza-university-of-rome_592560cf2aeae70239af4c97_small.jpg;Sapienza University of Rome;Europe;47.2
172;www.https://www.topuniversities.com/sites/default/files/albert-ludwigs-universitaet-freiburg_216_small.jpg;Albert-Ludwigs-Universitaet Freiburg;Europe;47
173;www.https://www.topuniversities.com/sites/default/files/university-college-dublin_166_small.jpg;University College Dublin;Europe;46.9
173;www.https://www.topuniversities.com/sites/default/files/university-of-florida_212_small.jpg;University of Florida;North America;46.9
175;www.https://www.topuniversities.com/sites/default/files/al-farabi-kazakh-national-university_2146_small.jpg;Al-Farabi Kazakh National University;Asia;46.8
176;www.https://www.topuniversities.com/sites/default/files/university-of-lausanne_592560cf2aeae70239af4bd3_small.jpg;University of Lausanne;Europe;46.6
177;www.https://www.topuniversities.com/sites/default/files/eberhard-karls-universitt-tbingen_629_small.jpg;Eberhard Karls Universität Tübingen;Europe;46.4
177;www.https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-bombay-iitb_281_small.jpg;Indian Institute of Technology Bombay (IITB);Asia;46.4
179;www.https://www.topuniversities.com/sites/default/files/erasmus-university-rotterdam_190_small.jpg;Erasmus University Rotterdam ;Europe;46.3
180;www.https://www.topuniversities.com/sites/default/files/national-tsing-hua-university_442_small.jpg;National Tsing Hua University;Asia;46.1
180;www.https://www.topuniversities.com/sites/default/files/vienna-university-of-technology_653_small.jpg;Technische Universität Wien;Europe;46.1
180;www.https://www.topuniversities.com/sites/default/files/university-of-gothenburg_233_small.jpg;University of Gothenburg;Europe;46.1
183;www.https://www.topuniversities.com/sites/default/files/khalifa-university-of-science-and-technology_592560e19988f300e2320ee2_small.jpg;Khalifa University;Asia;46
183;www.https://www.topuniversities.com/sites/default/files/universidad-de-chile_121_small.jpg;Universidad de Chile;Latin America;46
